condition,review,rating,usefulCount
"Onychomycosis, Toenail","""Started seeing results within 2 weeks. One bottle usually is prescribed for a 2 wk duration. I am currently on the 3rd bottle &amp; have had no reactions/ side effects so far. Jublia has been much more effective for me than Lamisil and Sporanox without the terrible side effects. Lamisil gave me a chicken pox rash all over my face, and Sporanox had the same effect only not as pronounced.  I would strongly recommend Jublia to anybody suffering with toenail fungus.""",9.0,86
Depression,"""I have taken 4 doses of Celexa thus far.  I noticed changes about 24 hours in.  Prior to starting I was very out of it, sad, withdrawn, had urges to hurt myself, no appetite, nausea/vomiting, anxiety, etc.  I saw my doctor for my worsening depression and she added Celexa to my other meds (Wellbutrin, Lamictal, Geodon).  I had been on that combination and the same dosages since May 2014.  My boss noticed major negative changes since May.  Today I am a little dizzy and nauseous, but otherwise, feeling much better, which is weird.  I am not used to this feeling.  I was worried this was too drastic of a change because it had been only 24 hours, but after reading other reviews, I am optimistic.""",9.0,70
Anxiety,"""I suffer from social anxiety- it&#039;s situational. I can go out to the grocery stores and other things but it usually happens in class. I tried 1mg today and it worked great.. It felt so good to feel calm around people and give good eye contact without my heart racing. It makes me sleepy hours later but I&#039;m fine with that.""",10.0,99
Weight Loss,"""I started Jan 4th at 262lbs, weighed in at 253lbs.  I hike every weekend and dont snack as much.  I try to eat low calorie soups for lunch vs sandwhiches or hamburgers.  I still need to modify my breakfast to a lower calorie version.  So far, I&#039;m okay with it. I need to be 180lbs and under.""",7.0,19
Weight Loss,"""Update on my one year experience on Belviq. Dropped 59 pounds 52 year old female hormone replacement, post menopausal, endometriosis. I now weigh 130 pounds as I did in high school. All blood work in normal ranges with bad cholesterol dropping by 66% and blood sugar down 1.1%. Side effects no more snoring, better sleep only bad side effect was a headache first three days taken care of with Advil. Great medicine that has me and my doctor very pleased.""",10.0,556
Major Depressive Disorde,"""Left Lexapro for Viibryd. First few weeks were fine. After about 5 weeks on 40 MG the terrible symptoms hit. Insane irritability, hostility, anger, anxiety, panic attacks, etc. My doctor with over 40 years experience told me not to even bother with a slow reduction. Just stop the medicine ASAP. He recommended taking 10 MG only if I felt withdrawal symptoms.  This was destroying my life.""",1.0,61
Cough and Nasal Congestion,"""I went to the doctor for my preschooler and the 1st time, they sent me home with nothing but recommendations for OT remedies.  A week and a half later, no improvement, especially at night when coughing became unbearable for my little one.  They gave her Bromfed DM and diagnosed allergies on top of the cold.  Worked like a charm.  She was able to rest and fight the cold and was back to her old self.  

Now, I have the cold, and I have tried Nyquil, cough drops, honey and lemon and tea remedies.  Nothing worked.  My daughter had a half bottle leftover,  (I do not have insurance for myself and don&#039;t qualify for any if you are wondering) so I had to do research on reactions, dosage, etc.  Mommy hasn&#039;t slept.  Hoping it works.""",10.0,8
Acne,"""I only wish I had started spironolactone sooner. It has completely stopped my hormonal cystic acne. I had suffered with large painful cysts about once monthly for the last few years (after ten acne-free years following Accutane in the 90s).

After starting spironolactone I did have one really major cyst come up right next to my nose which lasted a good week or so. It arose after approximately 4 weeks on the medicine (it was so large it could have had its own zip code). Since then I have been completely acne-free for about three months. Scars are finally beginning to fade. I&#039;m finally not facing that - &quot;oh God, is this the start of a cyst?&quot; trauma every month. I can plan my days without worry of my skin cycle. I am thrilled!""",10.0,54
ADHD,"""My 7 year old son has been on the 15mg patch going on his 4th month now and it has been a God send. He went from a C and D student at the start of the school year to an almost straight A student at the end. I have found that if I use adhesive remover and out a little lotion on the site after removal it manages the irritation. It definitely affects his appetite but no more so than any of the other medications that he has been on. Night and Day difference for us.""",10.0,35
Back Pain,"""Around the same time this year I have had a baby and shoulder surgery for osteoarthritis. Hence, I suffered from both shoulder pain AND post-partum depression. Percocet didn&#039;t stop the pain and Zoloft made me feel worse. My doctor prescribed Ultram and it is now my miracle pill! It helps with both issues. It allows me to be a normal functioning mom. I love how it helps my mood and physical pain!""",10.0,84
"Diabetes, Type 2","""I just started this medicine last week, I have not seen weight loss yet, or much change in my numbers.  BUT last week I did not exercise as much and did not eat strict to my diet, so hopefully this 2nd week I will start to see changes.  I really am hoping it helps with weight loss for me too!""",7.0,26
Pain,"""I get daily migraines and nothing helps me. I&#039;ve tried everything you could think of Stadol helps my pain too an extent. I&#039;d guess 60% with a max dose but in all fairness that is the best pain relief I get but it does have side effects with me all in all I&#039;d say its helpful.""",8.0,20
Depression,"""Female, 27 y.o., 20mg, also taking Bupropion. 
It really helped to &quot;lift the fog&quot; of my depression.  My boyfriend noticed my mood lift within a couple days.  It all but killed my appetite and I lost a lot of weight quickly; 17 lbs within a few weeks, 1-2 pounds a day.  My appetite gradually returned and my weight plateaued.
I experienced a different side effect every day during the 1st week. Numb; dizzy; nauseous; migraines. I quit imbibing because it only made me sleepy with a headache. That may have contributed to weight-loss and eventual regain as my alcohol tolerance returned to some degree. I still get the headaches, though less frequently, and I&#039;ll take a headache over crippling anxiety and depression any old day.""",8.0,66
